2023-05-30 21:46:51 status half-configured grub-gfxpayload-lists:amd64 0.7
2023-05-30 21:46:51 status half-installed grub-gfxpayload-lists:amd64 0.7
2023-05-30 21:46:51 status triggers-pending man-db:amd64 2.9.1-1
2023-05-30 21:46:51 status config-files grub-gfxpayload-lists:amd64 0.7
2023-05-30 21:46:51 status not-installed grub-gfxpayload-lists:amd64 <none>
2023-05-30 21:46:51 remove grub-pc:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:51 status half-configured grub-pc:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status half-installed grub-pc:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status config-files grub-pc:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 remove grub2-common:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:51 status half-configured grub2-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status half-installed grub2-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2023-05-30 21:46:51 status config-files grub2-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 remove grub-pc-bin:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:51 status half-configured grub-pc-bin:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status half-installed grub-pc-bin:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status config-files grub-pc-bin:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status not-installed grub-pc-bin:amd64 <none>
2023-05-30 21:46:51 remove grub-common:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:51 status half-configured grub-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status half-installed grub-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status config-files grub-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 startup packages configure
2023-05-30 21:46:51 trigproc install-info:amd64 6.7.0.dfsg.2-5 <none>
2023-05-30 21:46:51 status half-configured install-info:amd64 6.7.0.dfsg.2-5
2023-05-30 21:46:51 status installed install-info:amd64 6.7.0.dfsg.2-5
2023-05-30 21:46:51 trigproc man-db:amd64 2.9.1-1 <none>
2023-05-30 21:46:51 status half-configured man-db:amd64 2.9.1-1
2023-05-30 21:46:52 status installed man-db:amd64 2.9.1-1
2023-05-30 21:46:52 startup packages purge
2023-05-30 21:46:52 purge grub2-common:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:52 status config-files grub2-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:52 status not-installed grub2-common:amd64 <none>
2023-05-30 21:46:52 purge grub-pc:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:52 status config-files grub-pc:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:52 status not-installed grub-pc:amd64 <none>
2023-05-30 21:46:52 purge grub-common:amd64 2.04-1ubuntu26.16 <none>
2023-05-30 21:46:52 status config-files grub-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:52 status triggers-pending systemd:amd64 245.4-4ubuntu3.21
2023-05-30 21:46:52 status not-installed grub-common:amd64 <none>
2023-05-30 21:46:52 startup packages configure
2023-05-30 21:46:52 trigproc systemd:amd64 245.4-4ubuntu3.21 <none>
2023-05-30 21:46:52 status half-configured systemd:amd64 245.4-4ubuntu3.21
2023-05-30 21:46:52 status installed systemd:amd64 245.4-4ubuntu3.21
2023-05-30 21:58:10 startup archives unpack
2023-05-30 21:58:10 install dbus-x11:amd64 <none> 1.12.16-2ubuntu2.3
2023-05-30 21:58:10 status half-installed dbus-x11:amd64 1.12.16-2ubuntu2.3
2023-05-30 21:58:10 status triggers-pending man-db:amd64 2.9.1-1
2023-05-30 21:58:10 status unpacked dbus-x11:amd64 1.12.16-2ubuntu2.3
2023-05-30 21:58:10 install fonts-dejavu-core:all <none> 2.37-1
2023-05-30 21:58:10 status half-installed fonts-dejavu-core:all 2.37-1
2023-05-30 21:58:11 status unpacked fonts-dejavu-core:all 2.37-1
2023-05-30 21:58:11 install fontconfig-config:all <none> 2.13.1-2ubuntu3
2023-05-30 21:58:11 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2023-05-30 21:58:11 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2023-05-30 21:58:11 install libasyncns0:amd64 <none> 0.8-6
2023-05-30 21:58:11 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.9
2023-05-30 21:58:11 status half-installed libasyncns0:amd64 0.8-6
2023-05-30 21:58:11 status unpacked libasyncns0:amd64 0.8-6
2023-05-30 21:58:11 install libdrm-amdgpu1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
